23/12/2022 13:10:57:270  INFO - Node Entry | session id:sess2509830 | IVRColmenaARP:anuBienvenida | Framework | anuBienvenida |  |  | 00001018341670247984
23/12/2022 13:10:57:361  INFO - Node Entry | session id:sess2509830 | IVRColmenaARP:pacDigitaNIT | Framework | pacDigitaNIT |  |  | 00001018341670247984
23/12/2022 13:10:59:921  INFO - Node Entry | session id:sess2509830 | IVRColmenaARP:menConfirmaNIT | Framework | menConfirmaNIT | pacDigitaNIT___utterance | 0000^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 13:11:01:634  INFO - Node Entry | session id:sess2509830 | IVRColmenaARP:pacDigitaIdentificacion | Framework | pacDigitaIdentificacion | menConfirmaNIT___utterance | 1^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 13:11:05:356  INFO - Node Entry | session id:sess2509830 | IVRColmenaARP:menConfirmaIdent | Framework | menConfirmaIdent | pacDigitaIdentificacion___utterance | 0000#^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 13:11:06:928  INFO - Node Entry | session id:sess2509830 | IVRColmenaARP:insertaDatos | Framework | insertaDatos | menConfirmaIdent___utterance | 1^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 13:11:07:021  INFO - Node Entry | session id:sess2509830 | IVRColmenaARP:serPruebaWS | Framework | serPruebaWS |  |  | 00001018341670247984
23/12/2022 13:11:21:974  INFO - Node Entry | session id:sess2509830 | IVRColmenaARP:AvayaDefaultExitHandler | Framework | AvayaDefaultExitHandler |  |  | 00001018341670247984
23/12/2022 13:11:21:981  INFO - In Progress | session id:sess2509830 | IVRColmenaARP:AvayaDefaultExitHandler | Default Disconnect Handler | Default Exit executed, application exiting |  |  | 00001018341670247984
23/12/2022 13:11:21:981  INFO - Application Exit | session id:sess2509830 | IVRColmenaARP:AvayaDefaultExitHandler | Framework | Application Exiting |  |  | 00001018341670247984
23/12/2022 13:14:01:709  INFO - Node Entry | session id:sess9798534 | IVRColmenaARP:Start | Framework | Start |  |  | 
23/12/2022 13:14:01:810  INFO - Node Entry | session id:sess9798534 | IVRColmenaARP:anuBienvenida | Framework | anuBienvenida |  |  | 00001018341670247984
23/12/2022 13:14:01:898  INFO - Node Entry | session id:sess9798534 | IVRColmenaARP:pacDigitaNIT | Framework | pacDigitaNIT |  |  | 00001018341670247984
23/12/2022 13:14:04:470  INFO - Node Entry | session id:sess9798534 | IVRColmenaARP:menConfirmaNIT | Framework | menConfirmaNIT | pacDigitaNIT___utterance | 000^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 13:14:06:067  INFO - Node Entry | session id:sess9798534 | IVRColmenaARP:pacDigitaIdentificacion | Framework | pacDigitaIdentificacion | menConfirmaNIT___utterance | 1^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 13:14:09:777  INFO - Node Entry | session id:sess9798534 | IVRColmenaARP:menConfirmaIdent | Framework | menConfirmaIdent | pacDigitaIdentificacion___utterance | 000#^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 13:14:11:650  INFO - Node Entry | session id:sess9798534 | IVRColmenaARP:insertaDatos | Framework | insertaDatos | menConfirmaIdent___utterance | 1^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 13:14:11:742  INFO - Node Entry | session id:sess9798534 | IVRColmenaARP:serPruebaWS | Framework | serPruebaWS |  |  | 00001018341670247984
23/12/2022 13:14:26:679  INFO - Node Entry | session id:sess9798534 | IVRColmenaARP:AvayaDefaultExitHandler | Framework | AvayaDefaultExitHandler |  |  | 00001018341670247984
23/12/2022 13:14:26:684  INFO - In Progress | session id:sess9798534 | IVRColmenaARP:AvayaDefaultExitHandler | Default Disconnect Handler | Default Exit executed, application exiting |  |  | 00001018341670247984
23/12/2022 13:14:26:684  INFO - Application Exit | session id:sess9798534 | IVRColmenaARP:AvayaDefaultExitHandler | Framework | Application Exiting |  |  | 00001018341670247984
23/12/2022 13:39:24:332  INFO - Node Entry | session id:sess8561652 | IVRColmenaARP:Start | Framework | Start |  |  | 
23/12/2022 13:39:24:443  INFO - Node Entry | session id:sess8561652 | IVRColmenaARP:anuBienvenida | Framework | anuBienvenida |  |  | 00001018341670247984
23/12/2022 13:39:24:530  INFO - Node Entry | session id:sess8561652 | IVRColmenaARP:pacDigitaNIT | Framework | pacDigitaNIT |  |  | 00001018341670247984
23/12/2022 13:39:27:119  INFO - Node Entry | session id:sess8561652 | IVRColmenaARP:menConfirmaNIT | Framework | menConfirmaNIT | pacDigitaNIT___utterance | 111^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 13:39:28:764  INFO - Node Entry | session id:sess8561652 | IVRColmenaARP:pacDigitaIdentificacion | Framework | pacDigitaIdentificacion | menConfirmaNIT___utterance | 1^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 13:39:32:497  INFO - Node Entry | session id:sess8561652 | IVRColmenaARP:menConfirmaIdent | Framework | menConfirmaIdent | pacDigitaIdentificacion___utterance | 111#^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 13:39:34:208  INFO - Node Entry | session id:sess8561652 | IVRColmenaARP:insertaDatos | Framework | insertaDatos | menConfirmaIdent___utterance | 1^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 13:39:34:299  INFO - Node Entry | session id:sess8561652 | IVRColmenaARP:serPruebaWS | Framework | serPruebaWS |  |  | 00001018341670247984
23/12/2022 13:39:49:248  INFO - Node Entry | session id:sess8561652 | IVRColmenaARP:AvayaDefaultExitHandler | Framework | AvayaDefaultExitHandler |  |  | 00001018341670247984
23/12/2022 13:39:49:258  INFO - In Progress | session id:sess8561652 | IVRColmenaARP:AvayaDefaultExitHandler | Default Disconnect Handler | Default Exit executed, application exiting |  |  | 00001018341670247984
23/12/2022 13:39:49:259  INFO - Application Exit | session id:sess8561652 | IVRColmenaARP:AvayaDefaultExitHandler | Framework | Application Exiting |  |  | 00001018341670247984
23/12/2022 13:42:59:627  INFO - Node Entry | session id:sess2070462 | IVRColmenaARP:Start | Framework | Start |  |  | 
23/12/2022 13:42:59:817  INFO - Node Entry | session id:sess2070462 | IVRColmenaARP:anuBienvenida | Framework | anuBienvenida |  |  | 00001018341670247984
23/12/2022 13:42:59:922  INFO - Node Entry | session id:sess2070462 | IVRColmenaARP:pacDigitaNIT | Framework | pacDigitaNIT |  |  | 00001018341670247984
23/12/2022 13:43:04:556  INFO - Node Entry | session id:sess2070462 | IVRColmenaARP:menConfirmaNIT | Framework | menConfirmaNIT | pacDigitaNIT___utterance | 111^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 13:43:06:182  INFO - Node Entry | session id:sess2070462 | IVRColmenaARP:pacDigitaIdentificacion | Framework | pacDigitaIdentificacion | menConfirmaNIT___utterance | 1^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 13:43:09:897  INFO - Node Entry | session id:sess2070462 | IVRColmenaARP:menConfirmaIdent | Framework | menConfirmaIdent | pacDigitaIdentificacion___utterance | 111#^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 13:43:11:488  INFO - Node Entry | session id:sess2070462 | IVRColmenaARP:insertaDatos | Framework | insertaDatos | menConfirmaIdent___utterance | 1^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 13:43:11:953  INFO - Node Entry | session id:sess2070462 | IVRColmenaARP:serPruebaWS | Framework | serPruebaWS |  |  | 00001018341670247984
23/12/2022 13:43:26:499  INFO - Node Entry | session id:sess2070462 | IVRColmenaARP:AvayaDefaultExitHandler | Framework | AvayaDefaultExitHandler |  |  | 00001018341670247984
23/12/2022 13:43:26:510  INFO - In Progress | session id:sess2070462 | IVRColmenaARP:AvayaDefaultExitHandler | Default Disconnect Handler | Default Exit executed, application exiting |  |  | 00001018341670247984
23/12/2022 13:43:26:510  INFO - Application Exit | session id:sess2070462 | IVRColmenaARP:AvayaDefaultExitHandler | Framework | Application Exiting |  |  | 00001018341670247984
23/12/2022 13:45:04:990  INFO - Node Entry | session id:sess1516361 | IVRColmenaARP:Start | Framework | Start |  |  | 
23/12/2022 13:45:05:095  INFO - Node Entry | session id:sess1516361 | IVRColmenaARP:anuBienvenida | Framework | anuBienvenida |  |  | 00001018341670247984
23/12/2022 13:45:05:185  INFO - Node Entry | session id:sess1516361 | IVRColmenaARP:pacDigitaNIT | Framework | pacDigitaNIT |  |  | 00001018341670247984
23/12/2022 13:45:07:821  INFO - Node Entry | session id:sess1516361 | IVRColmenaARP:menConfirmaNIT | Framework | menConfirmaNIT | pacDigitaNIT___utterance | 222^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 13:45:09:415  INFO - Node Entry | session id:sess1516361 | IVRColmenaARP:pacDigitaIdentificacion | Framework | pacDigitaIdentificacion | menConfirmaNIT___utterance | 1^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 13:45:13:145  INFO - Node Entry | session id:sess1516361 | IVRColmenaARP:menConfirmaIdent | Framework | menConfirmaIdent | pacDigitaIdentificacion___utterance | 222#^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 13:45:14:720  INFO - Node Entry | session id:sess1516361 | IVRColmenaARP:insertaDatos | Framework | insertaDatos | menConfirmaIdent___utterance | 1^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 13:45:14:829  INFO - Node Entry | session id:sess1516361 | IVRColmenaARP:serPruebaWS | Framework | serPruebaWS |  |  | 00001018341670247984
23/12/2022 13:45:29:752  INFO - Node Entry | session id:sess1516361 | IVRColmenaARP:AvayaDefaultExitHandler | Framework | AvayaDefaultExitHandler |  |  | 00001018341670247984
23/12/2022 13:45:29:759  INFO - In Progress | session id:sess1516361 | IVRColmenaARP:AvayaDefaultExitHandler | Default Disconnect Handler | Default Exit executed, application exiting |  |  | 00001018341670247984
23/12/2022 13:45:29:759  INFO - Application Exit | session id:sess1516361 | IVRColmenaARP:AvayaDefaultExitHandler | Framework | Application Exiting |  |  | 00001018341670247984
